src,tgt
15*21*20=,6300
18+19+26=,63
10-27*4=,-98
25+8+24=,57
3-18-22=,-37
5+24-8=,21
26+4+15=,45
12*5-8=,52
4+6+4=,14
11-22-3=,-14
17*8*2=,272
4-25+7=,-14
20*4+5=,85
13-29-11=,-27
27*19-17=,496
28+4+22=,54
24+11+26=,61
5-3*13=,-34
9*10-29=,61
19+26-14=,31
20-27-6=,-13
27+29+0=,56
1+10+4=,15
23*20+0=,460
7+7-9=,5
28-16+17=,29
3-12*23=,-273
1-21*3=,-62
0*7*26=,0
19-11-9=,-1
24*17-6=,402
29-3*28=,-55
17*10*12=,2040
21-13*24=,-291
6+15+22=,43
5+28*2=,61
10*11*8=,880
20*14*0=,0
16*19-17=,287
5*17-15=,70
27*29+12=,795
19-4+2=,17
6*27-25=,137
0*28*12=,0
0*18+3=,3
5-13*28=,-359
7*0*4=,0
17*14*4=,952
8*21*26=,4368
10-4*27=,-98
24-21*16=,-312
15*25*24=,9000
29+25+5=,59
7*16+20=,132
6*22+9=,141
26*8-27=,181
3*8+7=,31
5*7-2=,33
28-12+1=,17
24-0*6=,24
15*3+17=,62
17+25+22=,64
27-21-4=,2
19-17*9=,-134
19-11-17=,-9
0-9-21=,-30
18*11+14=,212
22+11-12=,21
17+27+28=,72
0+13+26=,39
8+21+10=,39
16+22-5=,33
29+10*13=,159
1-26+25=,0
29*14-14=,392
9+19-13=,15
12*21*21=,5292
8-25*15=,-367
6*19-6=,108
14-17*1=,-3
5+15-4=,16
29-21-19=,-11
9+9*29=,270
19+19*1=,38
0*14-2=,-2
25*6*23=,3450
16*23+21=,389
26*17+21=,463
28+15+23=,66
9+23+28=,60
16+14+28=,58
7*8*29=,1624
9-25+10=,-6
23*27+28=,649
28-15-28=,-15
6-28*1=,-22
13*20-12=,248
29-9*17=,-124
11-27*6=,-151
11+23-10=,24
11-7-10=,-6
9+6+22=,37
24+5*25=,149
9*17+9=,162
23+29*24=,719
5*12-15=,45
6-9*28=,-246
21-8+16=,29
19*2+3=,41
11+10-29=,-8
3+12-18=,-3
21*14*28=,8232
20+6+3=,29
2+18-18=,2
18+27*22=,612
15-14-24=,-23
28+20*11=,248
0*12-13=,-13
10-20-25=,-35
13+12+23=,48
2*0-3=,-3
7+21+6=,34
4-11*17=,-183
18-11+27=,34
2-27*2=,-52
29+1+3=,33
23+27*21=,590
16-7+24=,33
28+0*13=,28
24-24+13=,13
26*3+14=,92
27*29-24=,759
21*13*3=,819
1*11-28=,-17
4+22*6=,136
26-1-4=,21
5*22*23=,2530
21+24*7=,189
8-28*1=,-20
2-20*2=,-38
23+1+10=,34
6*7+3=,45
20+27-3=,44
0+1+1=,2
9+4+11=,24
11-20-16=,-25
24*5*28=,3360
1-21-24=,-44
22*4-28=,60
7-9*8=,-65
28-27*2=,-26
23*18-19=,395
7-19-7=,-19
12-25-12=,-25
28-3*22=,-38
26-9+1=,18
27-0*18=,27
6+12+9=,27
21-9-21=,-9
3*12*27=,972
18+4+24=,46
22-26-21=,-25
7-29*8=,-225
21-20*17=,-319
10*1+25=,35
19*22+1=,419
8-24*27=,-640
18-24*7=,-150
4-29+3=,-22
23*5+20=,135
22+4+11=,37
3-7+3=,-1
20*1*9=,180
16+6-23=,-1
28*6*19=,3192
3*9-6=,21
1+16-2=,15
28*21+21=,609
4+12*28=,340
6+11*1=,17
16-29-23=,-36
22+19+15=,56
22-6-28=,-12
6-14*3=,-36
9-3-3=,3
1+1+11=,13
28*9-12=,240
16*22-11=,341
18*11+11=,209
0+28*24=,672
24-1+12=,35
22+0+6=,28
5+25+28=,58
7-27+18=,-2
12-17-25=,-30
23+23-13=,33
12-0+29=,41
15-13+5=,7
18-16-9=,-7
22-0-25=,-3
27*14+19=,397
0+5+26=,31
23*23*18=,9522
26*11+26=,312
19*1-8=,11
15+2-18=,-1
20+12+7=,39
5*29*25=,3625
21*25-21=,504
6-29*17=,-487
3+9-23=,-11
2-22+15=,-5
8*6*15=,720
24+28-18=,34
18+6*14=,102
9-1*6=,3
24+0+15=,39
18*14+6=,258
2+5*4=,22
1-13*26=,-337
4-26-19=,-41
5+27+19=,51
0+13+15=,28
26+18*23=,440
12-16-24=,-28
22+3-14=,11
13-4*6=,-11
11-9+26=,28
4*27+13=,121
15*1+1=,16
2+23*9=,209
2+23-15=,10
26*7*8=,1456
11*17-25=,162
10+14+26=,50
27-29-6=,-8
10-3-6=,1
29*20+27=,607
6+12+23=,41
0*19*5=,0
7-15-13=,-21
8-3+20=,25
28-8+12=,32
22-13*8=,-82
1-26+18=,-7
19-14+8=,13
4+27+21=,52
5*20*3=,300
11*29-12=,307
26+10-6=,30
21+3+4=,28
7-8+6=,5
8+22-23=,7
4-16+20=,8
3+1-20=,-16
5-15*23=,-340
8*7*9=,504
7*10+14=,84
15*11+17=,182
8*11*21=,1848
8-23-8=,-23
13+27*27=,742
17*29-20=,473
16*0-2=,-2
10+16-2=,24
11-11*0=,11
15-21*19=,-384
8-7+0=,1
16*20*14=,4480
16+20+15=,51
13-29-13=,-29
26+14*2=,54
0-8*24=,-192
23-18-17=,-12
13+17+5=,35
24-24-9=,-9
11-16*27=,-421
27-5+28=,50
20*8-27=,133
2*14-12=,16
10-22-18=,-30
10*13*8=,1040
0-6*29=,-174
24*27+18=,666
23+26+20=,69
18+14+5=,37
18-24*6=,-126
26*4*29=,3016
23*25*16=,9200
18-5*20=,-82
23+15+29=,67
15*17-23=,232
5+21+23=,49
10+19*5=,105
2-12-8=,-18
25-13*5=,-40
23+23*19=,460
18-16+9=,11
6*6*29=,1044
8-29-10=,-31
10-6*15=,-80
14+22+4=,40
15*20+18=,318
26+10+6=,42
12-11+6=,7
7*13*26=,2366
15-29*15=,-420
3-6*9=,-51
20-21*16=,-316
1*4+12=,16
15*14-9=,201
23+5-12=,16
24+28-8=,44
18*1+1=,19
28-15*5=,-47
18*21+5=,383
2-21+2=,-17
16+27+29=,72
21-25*20=,-479
29*6-5=,169
1*8+13=,21
10-21+11=,0
17+26*1=,43
21-28-13=,-20
18+23*7=,179
18+18-18=,18
8*17-19=,117
28*5*11=,1540
9+27-12=,24
19+16+25=,60
27+16*23=,395
14*29+4=,410
6-22+17=,1
24*2-8=,40
8-13*16=,-200
22-25-22=,-25
28*29+29=,841
5-29*23=,-662
4-23-23=,-42
17-2-0=,15
9+29+11=,49
26-28*29=,-786
28+2+7=,37
6*29-17=,157
25*1*4=,100
20+8*0=,20
3+2-13=,-8
14-15*14=,-196
11+20*28=,571
5-2+9=,12
17-22+28=,23
13+8+17=,38
23+8-5=,26
18*22-1=,395
24-1*27=,-3
29-27*23=,-592
23+7+10=,40
2-13*21=,-271
5-24*13=,-307
3*25+9=,84
20*13-1=,259
2*1+8=,10
14*6-0=,84
14-27-28=,-41
21*17+18=,375
26+2+23=,51
11+16*24=,395
10-24-16=,-30
8*11*22=,1936
15*4-1=,59
5-28*2=,-51
4*25*18=,1800
18+27-4=,41
23+21*18=,401
13*28-17=,347
15+6+24=,45
13*3+12=,51
16-20+18=,14
22-13*12=,-134
6*23+13=,151
6+25+2=,33
18*27-10=,476
9-15+24=,18
15+1+19=,35
7-17-19=,-29
22+2+3=,27
17+16+23=,56
15*13+27=,222
25*21-8=,517
21*8*22=,3696
26*17-7=,435
4*14+19=,75
7-4-9=,-6
11*26+12=,298
6-28*27=,-750
4-3*14=,-38
15*27-21=,384
5+10-10=,5
10*4+13=,53
3+4+1=,8
4+26-17=,13
6*3+6=,24
12-12-16=,-16
22+8+6=,36
16-3*7=,-5
28-8+2=,22
26*17+3=,445
17-4-16=,-3
10-18-10=,-18
25+4+23=,52
3-1*11=,-8
1-13+8=,-4
1+26+3=,30
10+18+2=,30
5-5*27=,-130
8*7+18=,74
3-19-11=,-27
5-27*21=,-562
16+10+1=,27
24-1+22=,45
22*12+20=,284
13-23-19=,-29
8*6-16=,32
26*12+15=,327
14+22-22=,14
22*6+7=,139
29+25-17=,37
21-3*27=,-60
14*18*3=,756
13*28*28=,10192
17-22+0=,-5
0+1+8=,9
14*29+5=,411
18*10-2=,178
14+22-27=,9
7-23*22=,-499
12+17-16=,13
4*20*2=,160
16*24*2=,768
2-7-25=,-30
13-10*26=,-247
8+23-9=,22
7+20*25=,507
22-6*18=,-86
16+26-21=,21
25-3*3=,16
1-18+0=,-17
13+13*26=,351
27+18*23=,441
0+27*7=,189
15+20+4=,39
6+28+21=,55
6+22+16=,44
8*1*26=,208
21*25+15=,540
3+17-15=,5
19+2-23=,-2
2+13+19=,34
24+0+23=,47
26-28-13=,-15
0*21*1=,0
8-6+24=,26
10-16-17=,-23
8-17-25=,-34
10-12-27=,-29
13*18*17=,3978
14-27*8=,-202
0-17+13=,-4
11*11*29=,3509
17-19*14=,-249
1-13-7=,-19
29*1+13=,42
24+3*13=,63
28+3-24=,7
0-5-22=,-27
17*18-25=,281
3*5-20=,-5
17*18+7=,313
3-12*14=,-165
12+18*28=,516
13-23*3=,-56
24*10*19=,4560
2+13-17=,-2
0*19-6=,-6
5+13-18=,0
13+7+18=,38
4-27+0=,-23
20-26*26=,-656
21-18-10=,-7
27+23+20=,70
23+26-23=,26
4*0+25=,25
16*24+8=,392
27+18*22=,423
3-8*26=,-205
29-12*11=,-103
3*27*1=,81
17+28*28=,801
9+21-6=,24
19*11*16=,3344
19*27-28=,485
14-8+7=,13
12*5-15=,45
4*4*19=,304
14*20+23=,303
9-28*10=,-271
13-4-28=,-19
0-28*12=,-336
16+21+6=,43
23*10+13=,243
8+13+10=,31
4-29-24=,-49
26-23-5=,-2
2-28-10=,-36
21-23+1=,-1
3-7+21=,17
29-12-10=,7
5+6-21=,-10
26+3*14=,68
27*14*14=,5292
19*18*17=,5814
17-12*4=,-31
15*7+12=,117
8*8-8=,56
1+16*27=,433
25*16+27=,427
27+24-5=,46
23+29+10=,62
19*6+24=,138
4-16+9=,-3
0+13-22=,-9
3-11-7=,-15
14+2*28=,70
0-23+6=,-17
0-14*2=,-28
29+0-7=,22
20*18*18=,6480
23-24-15=,-16
6+7+24=,37
14*9*24=,3024
1-14*25=,-349
2-5*28=,-138
2+18*0=,2
0*19*4=,0
14+3*29=,101
25-13-29=,-17
0+27-4=,23
8-21+12=,-1
8-27*2=,-46
13*16*8=,1664
13-3+17=,27
25+9-10=,24
17*9-18=,135
25+0-0=,25
1-8*12=,-95
10+12-1=,21
25+1-1=,25
17-9-27=,-19
15+10*26=,275
16-19*26=,-478
21+25-6=,40
17*20+17=,357
6-8+9=,7
2+5*1=,7
11*8*9=,792
14*25+2=,352
12-15+4=,1
22-2*29=,-36
28*19+20=,552
7-23*1=,-16
9*2+0=,18
1-11*5=,-54
0*18-12=,-12
0+22*13=,286
21*14*4=,1176
0*8+22=,22
5+8-23=,-10
16*2*6=,192
20*9+20=,200
11+4+11=,26
19*24*6=,2736
4-0-27=,-23
16+2*20=,56
10*28-23=,257
12+25+11=,48
18+17*1=,35
25*18-5=,445
13-22-8=,-17
6*16*2=,192
24*26*10=,6240
12-3*12=,-24
21*25+26=,551
13*16*1=,208
8-15-16=,-23
0*26+13=,13
3-0-19=,-16
14+29+2=,45
16*11+0=,176
3*2+21=,27
0*11+12=,12
1*21-27=,-6
6-22+1=,-15
1-13-1=,-13
2+28-3=,27
21*26-5=,541
18+20*6=,138
10-12*18=,-206
9*7+16=,79
2*10*15=,300
2+27+25=,54
25*11-5=,270
26*8+24=,232
18-3*23=,-51
14+6+24=,44
5*26*15=,1950
19+2+4=,25
25+16-9=,32
26-6+9=,29
19+18-26=,11
5-28-19=,-42
6*26*14=,2184
15*6+12=,102
29-16+8=,21
15+20*17=,355
18+25+19=,62
17*3+7=,58
2*4+7=,15
29+26*17=,471
9*19-17=,154
5+15+28=,48
20*9-3=,177
19+8*1=,27
8-22+2=,-12
7*1-21=,-14
15+9-2=,22
15-29-24=,-38
4-9+0=,-5
1+10+19=,30
18+22+13=,53
13+11-1=,23
10+29-24=,15
29*4-14=,102
26+8-3=,31
12*3-26=,10
7+4+8=,19
14-4+7=,17
1*27*18=,486
17+9*8=,89
25*18*15=,6750
3-2+9=,10
12*16-12=,180
10-12+1=,-1
0*11-12=,-12
12+6-11=,7
16+8*7=,72
11+6*27=,173
18+2+2=,22
7*3-6=,15
13+25-5=,33
12-2*2=,8
18-7+4=,15
8+11+5=,24
7-27-26=,-46
24-19*23=,-413
28-7+9=,30
0+15+11=,26
10-5*17=,-75
12*7-23=,61
12-18+0=,-6
28+16+27=,71
13+21*18=,391
28*10+28=,308
10-6*7=,-32
15-22*15=,-315
21-23+15=,13
6*13+27=,105
3+16-8=,11
9-17+5=,-3
29-27*29=,-754
16+15-15=,16
22*5+26=,136
27-4+11=,34
22*26-21=,551
14*6*17=,1428
3+14*26=,367
16*27*1=,432
26+7*3=,47
11+2-29=,-16
15-20-22=,-27
8*3*29=,696
7-18*24=,-425
7*28-29=,167
16-22+10=,4
24+10+29=,63
10-6+1=,5
17-19-13=,-15
24-14+18=,28
13+25+21=,59
8*11*0=,0
13-27+6=,-8
13+19*5=,108
15+24-13=,26
1*9+0=,9
9-28*16=,-439
29-16-0=,13
19*24-12=,444
5+12*16=,197
21*22-15=,447
27*21-2=,565
23-24*19=,-433
1*9-5=,4
17+1-24=,-6
1+16*8=,129
10-1-19=,-10
27-0+14=,41
25-2-7=,16
29+2-13=,18
20*17*27=,9180
24-0+21=,45
8*18-11=,133
5-22-9=,-26
29-2+0=,27
15+3-4=,14
19+19*14=,285
25-6-22=,-3
9*23+7=,214
0*9*7=,0
9+23+4=,36
28+13+2=,43
19-26-23=,-30
24-17+28=,35
7*11+2=,79
11*19-25=,184
20*22*7=,3080
29-23+5=,11
20+21+29=,70
7-5+5=,7
19-27*28=,-737
8*16+8=,136
13+1-10=,4
16*8*23=,2944
18*4*2=,144
27*5-10=,125
17*15-24=,231
11-20-17=,-26
9+15-9=,15
19*20*23=,8740
6+12*29=,354
18-18-29=,-29
27-4+13=,36
23-29+3=,-3
17*18*15=,4590
21+16+1=,38
15*15+16=,241
6+8+10=,24
22+14*8=,134
14*11+1=,155
20-16+2=,6
24*26-26=,598
1+8-20=,-11
6+24-15=,15
12-26-6=,-20
17-14*10=,-123
27+13+9=,49
13-18+13=,8
15-25+25=,15
29*25+17=,742
7*29-28=,175
28*25*27=,18900
23-28*0=,23
19-24*15=,-341
3*27-21=,60
9+24+21=,54
0-3-15=,-18
12-20*11=,-208
0+1*29=,29
5*11+11=,66
27*11-14=,283
1-5*9=,-44
8-19-4=,-15
2-13-26=,-37
22+28+7=,57
17+4+9=,30
23+27*3=,104
6*7-16=,26
8-22-13=,-27
8+22-12=,18
6*2-2=,10
18*18+4=,328
28-4-1=,23
2-28*8=,-222
0-7*2=,-14
0*15+25=,25
3-23*8=,-181
18+25-9=,34
24+24+23=,71
0+29*27=,783
13+22+24=,59
1*14*17=,238
21+17*22=,395
8*1*23=,184
20+14+21=,55
0*22+15=,15
20-3-1=,16
16+16*3=,64
15-4*15=,-45
21*11-29=,202
0+13+13=,26
25+9*6=,79
17+6+12=,35
22*25+4=,554
8*17-5=,131
26*16*0=,0
4+14+10=,28
26+3*9=,53
21*1*23=,483
26+10*4=,66
28-22+9=,15
18-18*15=,-252
21-1+2=,22
28+2-4=,26
13-18-5=,-10
26+5*4=,46
26+14+22=,62
0+6*18=,108
23-16-23=,-16
0+21-15=,6
28+13+11=,52
6-3+24=,27
20*17*17=,5780
20-25-3=,-8
3*23-14=,55
10*6+22=,82
25*24-5=,595
13-28-13=,-28
8*7-3=,53
3+27-9=,21
1*27+1=,28
5*20-14=,86
16-17-14=,-15
9*13+3=,120
18*11*24=,4752
5-1*26=,-21
20-19+26=,27
20-14*26=,-344
27*11-15=,282
23+29*29=,864
12-18+15=,9
27+22-26=,23
7*19+19=,152
27+17+3=,47
8*21+14=,182
13*8*25=,2600
22*26-28=,544
23+13-17=,19
11*14+29=,183
12-24*5=,-108
25-5*8=,-15
4*16-14=,50
2-27-23=,-48
26*0-0=,0
29-13-28=,-12
21*27+19=,586
15+1-5=,11
18-10-15=,-7
3-19-26=,-42
7*11*22=,1694
7+5*4=,27
16-24-15=,-23
25+5-9=,21
12*17*25=,5100
18*20-13=,347
11+7*14=,109
17-28-17=,-28
4+7+22=,33
12+19-4=,27
27-27*0=,27
0+17+27=,44
4-11*5=,-51
1+23*16=,369
3-0+29=,32
21*29*20=,12180
1*18+11=,29
21-3+22=,40
2*14*21=,588
4*19*26=,1976
10-14-8=,-12
21*23*26=,12558
2*23+26=,72
26*23-9=,589
23+3+24=,50
29+14*0=,29
19-0*0=,19
8+0*10=,8
20*28-28=,532
25+16+20=,61
25-5-24=,-4
24+7+0=,31
12-12+29=,29
1*24+1=,25
15-20*18=,-345
8+11*0=,8
9*2*2=,36
22*16+1=,353
5-25-5=,-25
10-4-24=,-18
10*6-2=,58
1+5+12=,18
21-15+28=,34
23*19+10=,447
16+6-2=,20
19*6*9=,1026
26+18-19=,25
18+7*14=,116
16-27-15=,-26
12*14-16=,152
7-27+24=,4
25-28-5=,-8
8-10-20=,-22
9+15-22=,2
9*14-11=,115
27*24-13=,635
3+29-14=,18
13-14*5=,-57
19-1+8=,26
19+11+16=,46
11+4-7=,8
8*8*5=,320
17*1-29=,-12
4+8*15=,124
10+22*27=,604
13*27-19=,332
4+22*18=,400
11+3-11=,3
21+18+27=,66
13*9+17=,134
20+7-21=,6
26+6*23=,164
10*29+8=,298
16-16+15=,15
9*2+10=,28
1-22*7=,-153
26+17-17=,26
8-20*15=,-292
12*16+9=,201
20*4-27=,53
4*6-20=,4
3+13+0=,16
1+23*27=,622
3-24-29=,-50
3+9+9=,21
14+27+5=,46
9-29+26=,6
24-4+0=,20
4-11+6=,-1
12*24-15=,273
6-29*10=,-284
8-25*18=,-442
24+10*9=,114
12*8-10=,86
21+29*7=,224
21+7-25=,3
10-18+5=,-3
13*0+25=,25
20-17*5=,-65
29+10*11=,139
21+15*10=,171
28+6*28=,196
9-17-15=,-23
18-29*22=,-620
13-10*4=,-27
3*17-23=,28
7+5-0=,12
9+4*6=,33
6-14+12=,4
1-4-8=,-11
29-20+0=,9
24-19-15=,-10
2+10+24=,36
4+3*12=,40
25*3*5=,375
28*12-1=,335
6-25+9=,-10
25+14+4=,43
22+16-22=,16
2*26+13=,65
7+25+26=,58
18-24*24=,-558
20*3*5=,300
17*7*4=,476
1*11+13=,24
5*7-17=,18
22*5-18=,92
22-23*16=,-346
0*8-6=,-6
24-15*25=,-351
2-28-11=,-37
4+6-18=,-8
28-1-29=,-2
11+9+25=,45
2+20+1=,23
0+20-7=,13
29-12-15=,2
0*4+21=,21
8+28-7=,29
2-6*15=,-88
11-2*13=,-15
5-10*0=,5
25*16*6=,2400
13-14*18=,-239
13+21*2=,55
5+10-23=,-8
19-12*22=,-245
5*25-10=,115
1*19+9=,28
18*7+25=,151
18+15*13=,213
22*8*26=,4576
26+10-10=,26
28-14+0=,14
0-2-5=,-7
4-27*2=,-50
24-14+11=,21
23*1+26=,49
4-6-1=,-3
19*9+6=,177
4+16+9=,29
11+13-12=,12
23+22+17=,62
10+28+3=,41
25+14-23=,16
0*16-23=,-23
28+28+22=,78
21-1+10=,30
15+19+4=,38
21*4-15=,69
19+1*8=,27
15+17-28=,4
4-12*27=,-320
25-28+20=,17
29-15-16=,-2
29-15+16=,30
1+28+16=,45
18-2-17=,-1
24*2+2=,50
10-25+23=,8
5*21+8=,113
11-28-23=,-40
4-20-25=,-41
6-0+12=,18
17-18-29=,-30
9*8-3=,69
19+16-23=,12
29*11*18=,5742
29+4+24=,57
3+16*6=,99
23*19*11=,4807
24-6-12=,6
7*3-2=,19
27-17+1=,11
22*15-13=,317
9+3+9=,21
4+3-9=,-2
9+7-2=,14
6+28-28=,6
13+5-4=,14
22-8*1=,14
7*22+7=,161
21*23-5=,478
20*10+29=,229
0-15-4=,-19
1-1-25=,-25
11+3*28=,95
23*23+9=,538
10-11+20=,19
13+7-0=,20
6-18-28=,-40
18*10-10=,170
4+29-10=,23
27*16*0=,0
26*0-19=,-19
25-29*8=,-207
27-19*6=,-87
17+23-10=,30
9+15-26=,-2
24-28-15=,-19
11+20+25=,56
29+18-9=,38
14+4-3=,15
17-17*24=,-391
14-12-28=,-26
26+10+23=,59
0*10-25=,-25
23+13+6=,42
28*13*23=,8372
19-17*28=,-457
9-26-7=,-24
15-9+10=,16
10*26+8=,268
23-8+23=,38
15*13*20=,3900
9*15-27=,108
26-1*7=,19
17*5-7=,78
29-0*14=,29
19-17+11=,13
7-12*12=,-137
12+20*14=,292
6+27+8=,41
14*2*7=,196
14*22+8=,316
1+1-21=,-19
23-15+26=,34
13-9+26=,30
5+27+13=,45
6*1+13=,19
6*22+7=,139
27-18-10=,-1
4*19*24=,1824
22*15*21=,6930
4*22-15=,73
12+8-8=,12
8-19*18=,-334
14*9+3=,129
9+23*11=,262
8*29*6=,1392
0+29*17=,493
25+16*13=,233
10*19*12=,2280
20+2+11=,33
19-16*28=,-429
11-8-4=,-1
10-6+14=,18
2+14-19=,-3
29+27+4=,60
21-1+13=,33
7+9-11=,5
13+28-14=,27
24+19-16=,27
26-5-19=,2
21+4+2=,27
22*6-18=,114
20+18-2=,36
27+14*2=,55
26-24-6=,-4
26*17+2=,444
5+8*21=,173
25+14*24=,361
20*1+5=,25
20-19*4=,-56
28*1-3=,25
6*14*0=,0
3*22+20=,86
27-22*13=,-259
8+6+26=,40
16-26+2=,-8
13-20-21=,-28
16-23+25=,18
9+2*16=,41
28+18*13=,262
6-13+1=,-6
18*10-14=,166
27+18-17=,28
0-9+7=,-2
13*0-5=,-5
24+26-8=,42
20+29-8=,41
7+19*5=,102
17+29*0=,17
7+24+1=,32
7*28-15=,181
1+15+15=,31
17+26*13=,355
17*13+16=,237
8-0+17=,25
3+19-16=,6
14+11-26=,-1
29-3-11=,15
19+8+8=,35
1+13*16=,209
18-13+7=,12
3-15*25=,-372
18*14-11=,241
1*0*0=,0
14-18*0=,14
17*1*28=,476
14*2*27=,756
12+17*3=,63
13*12*14=,2184
28-8+28=,48
26-3-14=,9
5-22-6=,-23
24-6+17=,35
26-15*8=,-94
7-3*2=,1
12-12+0=,0
25+8+23=,56
5*8*9=,360
17*11+18=,205
6-0*15=,6
5+10+16=,31
19*6*10=,1140
2-16-19=,-33
26+18+15=,59
25*22-7=,543
29*27-1=,782
7+8*20=,167
10+29+13=,52
10+27+18=,55
8+0+12=,20
4*22*23=,2024
27-2+27=,52
15-10+7=,12
3*25-28=,47
12-9+8=,11
11-19-2=,-10
9-20-17=,-28
28+7*18=,154
23-26*17=,-419
18+7+24=,49
11*15*29=,4785
26-26*16=,-390
25*4*12=,1200
23*3+15=,84
14*2+26=,54
20+23*20=,480
17*15-8=,247
23*19*7=,3059
9+20+16=,45
20*13-20=,240
9-14-16=,-21
7-7-17=,-17
22-17*2=,-12
22+10*11=,132
1-4+5=,2
19-16*12=,-173
0+14*0=,0
15-11+4=,8
20-17+3=,6
20+15-6=,29
5-11-21=,-27
3-27-8=,-32
19*19-2=,359
16+20*12=,256
6+18*20=,366
26-20*13=,-234
14-22*28=,-602
18-10*6=,-42
21*29*28=,17052
19+28-5=,42
29+24-20=,33
7*9+13=,76
29-10-5=,14
15+17+14=,46
28*10*24=,6720
1*5-13=,-8
19-22+18=,15
22-8-27=,-13
26*18-6=,462
23*12*10=,2760
0*28-1=,-1
10-8*7=,-46
16*5-6=,74
18-27+6=,-3
6-28-28=,-50
4*13*20=,1040
22-11*13=,-121
19+11*11=,140
28-18*24=,-404
26-5*29=,-119
10+5-3=,12
3-5*2=,-7
16+10*21=,226
2+9+11=,22
15*24*22=,7920
21*8+17=,185
16+0-28=,-12
1-22+3=,-18
9*4-0=,36
27*24-12=,636
24+25+8=,57
20+6*11=,86
7+1-6=,2
19+1-25=,-5
11-23+24=,12
23-23+28=,28
17-16+15=,16
15*3+26=,71
7*16-29=,83
19-18*17=,-287
17*26+13=,455
17+5-8=,14
4+24*17=,412
3*2*0=,0
10*4*11=,440
14+11-25=,0
22+3+5=,30
19-16-6=,-3
27*3-9=,72
19+2-20=,1
14+7*19=,147
7+10*8=,87
28-25*6=,-122
8+27+28=,63
4*3+16=,28
1-13-0=,-12
19*17-16=,307
19-24*29=,-677
3*16-3=,45
10-7*23=,-151
6-11*21=,-225
21+22+29=,72
1+29*19=,552
22-26*11=,-264
2+11+3=,16
13+29-2=,40
25+9-23=,11
16*18-15=,273
28+26*29=,782
23-4+27=,46
17+0-10=,7
26+3+20=,49
3*17*8=,408
6-7-1=,-2
29-10+2=,21
6+24*12=,294
6*1-13=,-7
27*17*20=,9180
19-22*10=,-201
13-19-12=,-18
5+17-4=,18
6*23*9=,1242
20+5+18=,43
18*10*19=,3420
7-22+5=,-10
8-12+17=,13
7-14+0=,-7
0+4+23=,27
17+8*25=,217
20*16+20=,340
20-15*8=,-100
13*24+25=,337
0+0-7=,-7
25*13-0=,325
5*2+11=,21
19*7*18=,2394
3-20-23=,-40
18+6-29=,-5
1-18*23=,-413
11*21-1=,230
3*6-29=,-11
20*20+13=,413
6+3+6=,15
19-22+22=,19
18-25+16=,9
26+8+11=,45
5*28*14=,1960
5*23-6=,109
13*7*24=,2184
6*6+7=,43
15*17+8=,263
8+19+27=,54
3-15+0=,-12
27+25+10=,62
20*21+16=,436
6+21-23=,4
0-5*26=,-130
18*2-28=,8
20+28*8=,244
14+18+8=,40
13-8*16=,-115
5-28*15=,-415
14*2*17=,476
21*24+22=,526
16+17-20=,13
7-14*10=,-133
3-25-7=,-29
15-21*6=,-111
29*2*5=,290
26-24*11=,-238
9+26-11=,24
17-29-10=,-22
9-2-17=,-10
8*25-20=,180
4-3+2=,3
12-6+23=,29
14+13+15=,42
0*9-22=,-22
22+19*17=,345
20+1*4=,24
18-4*26=,-86
16-10+26=,32
15*22*27=,8910
13-23-3=,-13
9*23*16=,3312
17*15+10=,265
26-23+24=,27
5-18*12=,-211
23+15+6=,44
9-27-14=,-32
0-19*6=,-114
26+12-6=,32
8+10+18=,36
13*9-6=,111
17-17*8=,-119
15-1+12=,26
14+26-3=,37
12*10+7=,127
16-0*12=,16
14*24-5=,331
25+28*5=,165
21-19+27=,29
15+8+18=,41
18+25+9=,52
3*3+4=,13
18-27+7=,-2
12+9*12=,120
10-14-10=,-14
17+1+1=,19
16-29+25=,12
12-16*17=,-260
17+22+9=,48
13-25+23=,11
12*24*11=,3168
0+13*3=,39
4+21-15=,10
2-15*16=,-238
18-2+12=,28
22-3-15=,4
11-13+29=,27
8+19-19=,8
1*12*24=,288
10-0+10=,20
18+16*14=,242
2*13*10=,260
2-8+6=,0
10*17-25=,145
12-28*7=,-184
12+25-8=,29
27-13*15=,-168
0+12-27=,-15
10*21*1=,210
3+15-5=,13
26*22-28=,544
27-21+9=,15
9+26-6=,29
14+17+24=,55
26*13*25=,8450
28-24-17=,-13
8-13+19=,14
24-5+6=,25
1-29-19=,-47
26+5+14=,45
22-13+13=,22
1-13*10=,-129
6-8*2=,-10
24-14+8=,18
20*19-19=,361
9*22*27=,5346
7*15-3=,102
10+10*2=,30
17+1-2=,16
20+0+14=,34
0*0+15=,15
0-2*11=,-22
11-23-15=,-27
13*1+16=,29
26*23-7=,591
24-0*23=,24
28*12-9=,327
29*11-5=,314
8-2*2=,4
1-17+0=,-16
17+5-19=,3
27+29-11=,45
9+26*29=,763
7-28-13=,-34
12*17-27=,177
29*19*4=,2204
25+16-2=,39
8-17-3=,-12
22-8*0=,22
12-1*4=,8
29+15*23=,374
22*15-19=,311
16-21*8=,-152
6-14*2=,-22
2+11-1=,12
1+3+1=,5
19-8*8=,-45
15-21-28=,-34
4*18-10=,62
17-11*14=,-137
27*6+24=,186
27*10*16=,4320
5-3+15=,17
22-1-0=,21
4-14+26=,16
